state,county,pop_total_2019,median_age_2019,median_income_2019,households_median_value_2019,households_avg_size_2019,households_total_2019,households_median_gross_rent_2019,mean_travel_time_2019,pop_total_male_rate_2019,pop_total_female_rate_2019,pop_18_39_male_rate_2019,pop_18_39_female_rate_2019,pop_40_64_male_rate_2019,pop_40_64_female_rate_2019,pop_over_65_male_rate_2019,pop_over_65_female_rate_2019,veterans_rate_2019,inmigrants_rate_2019,white_rate_2019,black_rate_2019,native_rate_2019,asian_rate_2019,pacific_rate_2019,other_rate_2019,hispanic_rate_2019,two_more_races_rate_2019,high_school_rate_2019,bachelors_rate_2019,poverty_rate_2019,households_renter_rate_2019,households_owner_rate_2019,unemployment_rate_2019,public_transport_rate_2019,no_health_insurance_rate_2019,county_fips
29,003,17503,42.4,58772,147900,2.56,6763,801,7955,49.93,50.07,12.88,11.19,16.69,17.44,8.46,10.27,6.51,1.23,95.33,1.37,0.26,0.35,0.7,0.16,2.5,1.83,22.46,11.74,7.78,20.07,79.93,3.01,0.0,5.68,29003
29,005,5229,48.5,50236,84900,2.0,2562,529,2459,49.67,50.33,11.07,10.75,17.14,16.35,11.55,13.83,8.05,0.9,97.59,0.46,0.78,0.48,0.0,0.25,1.32,0.44,26.35,12.47,11.86,30.29,69.71,2.46,0.1,9.31,29005
29,007,25644,39.7,44261,97900,2.56,9286,649,10208,46.11,53.89,11.0,16.23,15.18,17.16,7.36,9.96,6.68,1.65,88.87,5.71,0.35,0.13,0.09,0.64,3.11,4.21,25.11,6.66,13.8,31.51,68.49,4.58,0.0,10.0,29007
29,009,35530,43.7,44403,120600,2.58,13645,666,13523,49.9,50.1,11.62,12.12,16.81,16.57,9.36,10.86,7.59,5.18,92.1,0.23,0.73,1.4,0.0,2.29,9.35,3.26,24.88,6.94,20.74,26.26,73.74,4.59,0.08,14.18,29009
29,011,11797,41.3,44125,97500,2.37,4895,557,4785,49.32,50.68,12.45,12.1,15.68,15.84,8.82,11.28,6.05,0.71,92.9,0.3,2.47,0.03,0.08,0.19,1.59,4.03,24.17,9.06,20.06,29.93,70.07,7.06,0.03,10.9,29011
29,013,16296,41.6,47625,114600,2.44,6547,654,6688,49.05,50.95,12.02,12.22,16.71,16.13,8.38,10.89,6.72,1.2,95.37,1.51,0.63,0.29,0.19,0.73,2.21,1.28,28.21,7.37,11.71,27.28,72.72,4.54,0.0,9.08,29013
29,015,19107,53.6,40249,117500,2.4,7872,638,6294,49.76,50.24,8.93,8.81,16.92,17.59,14.91,15.41,10.29,0.99,96.06,0.25,1.54,0.08,0.0,0.15,2.05,1.92,25.64,5.26,17.51,18.37,81.63,8.03,0.07,11.7,29015
29,017,12225,44.0,44158,110800,2.62,4593,647,4774,49.64,50.36,12.2,12.05,17.04,17.33,9.28,10.32,6.47,0.58,97.11,0.41,0.86,0.36,0.0,0.0,1.12,1.26,29.2,4.34,15.05,19.18,80.82,4.03,0.29,11.48,29017
29,019,177651,31.2,55328,185700,2.39,70619,876,87936,48.6,51.4,19.98,21.0,12.81,14.04,5.28,6.59,5.14,6.93,81.19,8.98,0.34,4.44,0.09,0.95,3.43,4.02,10.81,15.74,16.99,44.39,55.61,4.21,0.49,6.92,29019
29,021,88460,37.8,51916,122200,2.52,33501,779,39646,50.45,49.55,16.3,13.81,15.83,15.56,6.8,9.04,6.97,4.02,87.27,5.19,0.48,1.09,0.46,1.62,6.53,3.9,21.06,9.64,16.41,37.65,62.35,4.62,0.28,9.93,29021
